Código,Nome,Período,Duração,Dependências
CBI114,ANATOMIA HUMANA,1,1,
CBI199,CITO-HISTOLOGIA A,1,1,
CBI617,EMBRIOLOGIA HUMANA,1,1,
CSO117,METODOLOGIA DE PESQUISA,1,1,
FAR600,INTRODUCAO A FARMACIA,1,1,
MTM500,FUNDAMENTOS DE CALCULO,1,1,
QUI211,QUIMICA GERAL,1,1,
QUI212,QUIMICA GERAL EXPERIMENTAL,1,1,
CBI197,FISIOLOGIA I,2,1,CBI114
EST206,BIOESTATISTICA,2,1,
FAR010,OBSERVACOES E EXPERIENCIAS PRATICAS EM SAUDE COLETIVA,2,1,
PRO600,ADMINISTRACAO E ECONOMIA/GESTAO DE QUALIDADE,2,1,
QUI213,QUIMICA ORGANICA I,2,1,QUI211
QUI218,FISICO-QUIMICA EXPERIMENTAL,2,1,MTM500;QUI211;QUI212
QUI287,FISICO-QUIMICA I,2,1,MTM500;QUI211
QUI288,QUIMICA ORGANICA EXPERIMENTAL,2,1,QUI211;QUI212
QUI312,QUIMICA INORGANICA,2,1,QUI211
BEV119,MORFOLOGIA VEGETAL,3,1,
CBI198,FISIOLOGIA II,3,1,CBI197
CBI218,BIOQUIMICA CELULAR I,3,1,QUI213
FAR035,EPIDEMIOLOGIA,3,1,EST206
QUI215,QUIMICA ORGANICA II,3,1,QUI213;QUI288
QUI219,QUIMICA ANALITICA,3,1,QUI211
QUI232,QUIMICA ANALITICA EXPERIMENTAL APLICADA A FARMACIA,3,1,QUI211;QUI212
ACL011,IMUNOLOGIA BASICA E APLICADA A FARMACIA,4,1,
CBI607,BIOQUIMICA CELULAR II,4,1,CBI218
CBI610,PATOLOGIA GERAL,4,1,CBI198
FAR011,FARMACOEPIDEMIOLOGIA,4,1,FAR035
FAR012,FARMACOLOGIA I,4,1,CBI198;CBI218
FAR013,OBSERVACOES E EXPERIENCIAS PRATICAS EM INDUSTRIA,4,1,FAR010
FAR604,INTRODUCAO AS OPERACOES UNITARIAS,4,1,QUI218;QUI287
QUI289,METODOS FISICOS DE ANALISE ORGANICA,4,1,QUI215
QUI290,QUIMICA ANALITICA INSTRUMENTAL,4,1,QUI219;QUI232
ACL012,MICROBIOLOGIA GERAL APLICADA A FARMACIA,5,1,CBI198;CBI607;CBI610
ACL013,PARASITOLOGIA HUMANA E CLINICA,5,1,ACL011;CBI198;CBI610
FAR014,FARMACOLOGIA II,5,1,FAR012
FAR015,OBSERVACOES E EXPERIENCIAS PRATICAS EM FARMACIA,5,1,FAR012
FAR606,FARMACOGNOSIA I,5,1,BEV119;CBI607;QUI215
FAR609,SAUDE PUBLICA,5,1,FAR035
ACL014,BIOLOGIA MOLECULAR APLICADA A FARMACIA,6,1,ACL013;CBI607
ACL015,HEMATOLOGIA CLINICA I,6,1,CBI610
ACL600,BIOQUIMICA CLINICA I,6,1,CBI607;CBI610;FAR012
FAR016,FARMACOGNOSIA II,6,1,FAR606
FAR017,FARMACOLOGIA III,6,1,ACL012;FAR012
FAR018,ELABORACAO DE PROJETO DE TRABALHO DE CONCLUSAO DE CURSO,6,1,CSO117;FAR013;FAR015
FAR613,FARMACOTECNICA I,6,1,FAR012;FAR604;QUI215
ACL403,BIOQUIMICA CLINICA II,7,1,ACL600
ACL404,HEMATOLOGIA CLINICA II,7,1,ACL015
FAR019,ASSISTENCIA FARMACEUTICA,7,1,FAR011;FAR015;FAR609
FAR020,FARMACOLOGIA IV,7,1,CBI607;FAR012
FAR021,TOXICOLOGIA GERAL E DOS ALIMENTOS,7,1,FAR012
FAR416,BIOFARMACIA,7,1,FAR012;FAR613
FAR615,FARMACOTECNICA II,7,1,FAR613
FAR617,BIOTECNOLOGIA I,7,1,ACL014
ACL017,MICROBIOLOGIA HUMANA CLINICA,8,1,ACL012
ACL401,CITOLOGIA DO COLO DO UTERO,8,1,CBI199;CBI610
FAR022,DEONTOLOGIA E LEGISLACAO FARMACEUTICA,8,1,FAR609
FAR023,ESTAGIO FARMACIA,8,1,FAR020;FAR615
FAR024,QUIMICA FARMACEUTICA,8,1,FAR017;QUI289
FAR025,TOXICOLOGIA HUMANA I,8,1,FAR021
FAR406,FITOTERAPIA,8,1,FAR012;FAR016
ACL225,ESTAGIO EM ANALISES CLINICAS,9,1,ACL012;ACL013;ACL015;ACL600
FAR026,PROMOCAO E EDUCACAO EM SAUDE,9,1,FAR015;FAR609
FAR622,CONTROLE FISICO-QUIMICO DE QUALIDADE,9,1,FAR615;QUI289
FAR027,ESTAGIO FINAL DE CURSO EM ASSISTENCIA FARMACEUTICA OU INDUSTRIA,10,1,ACL225;FAR026;FAR622
TCC007,TRABALHO DE CONCLUSAO DE CURSO,10,1,FAR018
