Código,Nome,Período,Duração,Dependências
EDU252,ESTUDOS HISTORICOS SOBRE EDUCACAO,1,1,
FIS118,FISICA CONCEITUAL,1,1,
FIS119,A FISICA NO MUNDO MODERNO,1,1,
MTM122,CALCULO DIFERENCIAL E INTEGRAL I,1,1,
MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,1,1,
EDU253,ESTUDOS SOCIOLOGICOS SOBRE EDUCACAO,2,1,
FIS305,FISICA TEORICA I,2,1,
FIS315,FISICA EXPERIMENTAL I,2,1,
FIS400,HISTORIA DA FISICA,2,1,FIS118
LET966,INTRODUCAO A LIBRAS,2,1,
MTM123,CALCULO DIFERENCIAL E INTEGRAL II,2,1,MTM122
FIL643,FILOSOFIA DAS CIENCIAS: SECULO XX,3,1,
FIS306,FISICA TEORICA II,3,1,MTM122;MTM131
FIS316,FISICA EXPERIMENTAL II,3,1,MTM122;MTM131
FIS401,TECNOLOGIAS DA INFORMACAO E COMUNICACAO NA EDUCACAO,3,1,
MTM124,CALCULO DIFERENCIAL E INTEGRAL III,3,1,MTM123
QUI242,QUIMICA GERAL,3,1,MTM122;MTM131
QUI243,QUIMICA GERAL EXPERIMENTAL,3,1,MTM122;MTM131
EDU256,PSICOLOGIA DA EDUCACAO,4,1,EDU252
FIS307,FISICA TEORICA III,4,1,FIS305;MTM122;MTM131
FIS317,FISICA EXPERIMENTAL III,4,1,FIS305;FIS315
FIS406,ESTAGIO SUPERVISIONADO EM FISICA I,4,1,EDU252
FIS415,"CURRICULO, HISTORIA E CTS NO ENSINO DE FISICA",4,1,FIS305
MIF001,MODULO INTERDISCIPLINAR DE FORMACAO I,4,1,
EDU254,POLITICA E GESTAO EDUCACIONAL,5,1,EDU252;EDU253
FIS214,MECANICA RACIONAL,5,1,FIS305;MTM123
FIS308,FISICA TEORICA IV,5,1,FIS307
FIS318,FISICA EXPERIMENTAL IV,5,1,FIS317
FIS403,EXPERIMENTACAO E INVESTIGACAO NO ENSINO DE FISICA,5,1,FIS401
FIS407,ESTAGIO SUPERVISIONADO EM FISICA II,5,1,EDU252;EDU253
FIS302,ESTRUTURA DA MATERIA I,6,1,FIS308;MTM123
FIS304,TERMODINAMICA I,6,1,FIS306;MTM123
FIS404,EDUCACAO NAO-FORMAL E INFORMAL EM CIENCIAS NATURAIS,6,1,FIS401;FIS415
FIS408,ESTAGIO SUPERVISIONADO EM FISICA III,6,1,FIS407
MIF002,MODULO INTERDISCIPLINAR DE FORMACAO II,6,1,
FIS405,METODOLOGIA DA PESQUISA EM ENSINO DE CIENCIAS,7,1,FIS401;FIS415
FIS409,ESTAGIO SUPERVISIONADO EM FISICA IV,7,1,FIS408
FIS413,FISICA EXPERIMENTAL AVANCADA I,7,1,FIS302;FIS318
FIS835,PROJETO E MONOGRAFIA I,7,1,
FIS410,ESTAGIO SUPERVISIONADO EM FISICA V,8,1,FIS409
FIS427,FISICA EXPERIMENTAL AVANCADA II,8,1,FIS413
FIS836,PROJETO E MONOGRAFIA II,8,1,
MIF003,MODULO INTERDISCIPLINAR DE FORMACAO III,8,1,
